Название,Жанр,Режиссер,Страна,Год,IMDb
Ад каннибалов 3,"ужасы, приключения",Руджеро Деодато,"🇮🇹, Италия",1977,ID 0078437
Ад каннибалов,ужасы,Руджеро Деодато,Италия,1980,ID 0078935
Ад и небо,"фантастическая, комедия",Станислав Ружевич,Польша,1966,ID 0060833
Ад живых мертвецов,фильм ужасов,"Бруно Маттеи, Клаудио Фрагассо","Италия, Испания",1980,ID 0082559
Ад в Тихом океане,"приключенческий фильм, боевик",Джон Бурмен,США,1968,ID 0063056
Ад в заливе Фриско,фильм нуар,Фрэнк Таттл,США,1956,ID 0048158
"Ад (фильм, 1994)",драма,Клод Шаброль,Франция,1994,ID 0109731
"Ад (фильм, 2010)","криминальная, драма, чёрный юмор",Луис Эстрада,Мексика,2010,ID 1692190
"Ад (фильм, 1911)","немое кино, драматический фильм","Джузеппе де Лигуоро, Адольфо Падован, Франческо Бертолини",Италия,1911,ID 0002130
Агрессивные дамочки,"комедия, пародия","Джули Браун, Ричард Уэнк",США,1994,ID 0109167
Ад в поднебесье,фильм-катастрофа,Джон Гиллермин,США,1974,ID 0072308
Агора (фильм),"биография, драма, приключения, история, пеплум",Алехандро Аменабар,"Испания, Мальта, Португалия, Франция, США",2009,ID 1186830
Агония (фильм),"исторический фильм, драма",Элем Климов,СССР,1981,ID 0081991
"Агнец (фильм, 2021)","драма, фолк-хоррор",Вальдимар Йоханнссон,"Исландия, Швеция, Польша",2021,ID 9812474
Агнесса Божья,"драма, триллер",Норман Джуисон,США,1985,ID 0088683
Агенты КГБ тоже влюбляются,комедия положений,Себастьян Аларкон,СССР,1991,ID 0101280
"Агирре, гнев божий","драма, приключения",Вернер Херцог,ФРГ,1972,ID 0068182
Агенты Сокол и Снеговик,"драма, триллер",Джон Шлезингер,"Великобритания, США",1985,ID 0087231
Агитбригада «Бей врага!»,"комедия, драма",Виталий Мельников,Россия,2007,ID 1153032
Агенты казначейства,нуар,Энтони Манн,США,1947,ID 0039881
Агенты А.Н.К.Л.,комедийный боевик,Гай Ричи,США,2015,ID 1638355
"Агент под прикрытием (фильм, 2012)","криминальный, комедийный боевик",Том Воган,США,2012,ID 1766094
Агент-невидимка,"фильм ужасов, фантастический фильм",Эдвин Л. Марин,США,1942,ID 0034902
Агент секретной службы (фильм),"детектив, шпионский, драма",Ион Скутельник,СССР,1978,ID 0266233
Агент по кличке Спот,"боевик, комедия",Джон Уайтселл,США,2001,ID 0250720
Агент по имени Далила,триллер,Ричард Франклин,США,1992,ID 0111035
Агент особого назначения,детектив,"Константин Статский, 1-й сезон, Наталья Шабанова, 2-й сезон, Андрей Элинсон, 3-й  4-й сезоны",Россия,2010-2013,ID 1744910
Агент Коди Бэнкс,"комедия, пародия, боевик","Харальд Цварт, англ., рус.",США,2003,ID 0313911
Агент Коди Бэнкс 2: Пункт назначения — Лондон,"комедия, семейный",Кевин Аллен,США,2004,ID 0358349
Агент Картер (фильм),"короткометражка, боевик, приключения, научная фантастика",Луис Д'Эспозито,США,2013,ID 3067038
